District,State,State_Abbreviation,CD#,CD,2018_Cook_PVI_Score,2018_Winner,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Score_intg,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
FL11,Florida,FL,11,FL-11,-15,Dan Webster,R,No,"128,053","239,395",58,34.80,65.10,32.5,64.8,Rural-suburban mix,-15,R+15,84.4,6.2,7.3,0.9,0.3,0.9,20.6,21.2,43610,66.4
FL12,Florida,FL,12,FL-12,-8,Gus Bilirakis,R,No,"132,844","194,564","7,510",39.70,58.10,38.8,57.4,Sparse suburban,-8,R+8,84,3.9,9,1.9,0.3,0.9,26.9,26.7,49774,61.5
FL13,Florida,FL,13,FL-13,2,Charlie Crist,D,No,"182,717","134,254",0,57.60,42.40,49.6,46.4,Dense suburban,2,D+2,78.1,11.2,6.4,2.8,0.3,1.2,27.8,28.8,48519,55.5
FL14,Florida,FL,14,FL-14,7,Kathy Castor,D,No,0,0,0,100.00,0.00,57.2,39,Dense suburban,7,D+7,55.1,17,22.8,3.3,0.2,1.5,35.3,46.5,51410,29.4
FL15,Florida,FL,15,FL-15,-6,Ross Spano,R,No,"134,132","151,380",20,47.00,53.00,43.1,53.1,Sparse suburban,-6,R+6,67.3,13.2,15.4,2.5,0.2,1.4,25.8,27.3,53784,48.8
FL16,Florida,FL,16,FL-16,-7,Vern Buchanan,R,No,"164,463","197,483",0,45.40,54.60,43,53.7,Sparse suburban,-7,R+7,80.3,7.6,9.4,1.6,0.2,0.9,30.7,33.2,55447,53.5
FL17,Florida,FL,17,FL-17,-13,Greg Steube,R,No,"117,194","193,326",0,37.70,62.30,35,62.2,Rural-suburban mix,-13,R+13,82.4,6.8,8.8,1.1,0.2,0.8,21.3,23.2,45508,63.2
FL18,Florida,FL,18,FL-18,-5,Brian Mast,R,No,"156,454","185,905",0,45.70,54.30,44.1,53.3,Sparse suburban,-5,R+5,76.8,10.7,10,1.6,0.2,0.8,30.5,33.6,54913,50.9
FL19,Florida,FL,19,FL-19,-13,Francis Rooney,R,No,"128,106","211,465",36,37.70,62.30,37.5,59.6,Sparse suburban,-13,R+13,81.6,5.7,10.7,1.2,0.2,0.7,32.3,37.1,54812,51.3
FL20,Florida,FL,20,FL-20,31,Alcee Hastings,D,No,"202,659",0,165,100.00,0.00,80.2,18.1,Urban-suburban mix,31,D+31,25.6,51.2,19.4,2.5,0.1,1.3,19.7,27.2,43677,18.5
FL21,Florida,FL,21,FL-21,9,Lois Frankel,D,No,0,0,0,100.00,0.00,58.6,39.1,Dense suburban,9,D+9,70.5,11.6,14.7,2.1,0.1,0.9,34.3,40.5,55864,41.8
FL22,Florida,FL,22,FL-22,6,Ted Deutch,D,No,"184,634","113,049",0,62.00,38.00,56.8,41,Dense suburban,6,D+6,68.7,11.6,15.8,2.5,0.2,1.2,37.9,43.2,60159,38.9
FL23,Florida,FL,23,FL-23,11,Debbie Wasserman Schultz,D,No,"161,611","99,446","15,309",58.50,36.00,61.9,35.8,Urban-suburban mix,11,D+11,51.8,12.5,30.8,3.4,0.3,1.1,38.6,39.7,61513,31.1
FL24,Florida,FL,24,FL-24,34,Frederica Wilson,D,No,0,0,0,100.00,0.00,82.9,15.4,Urban-suburban mix,34,D+34,15.7,50.5,31.6,1.4,0.1,0.7,19.4,35.9,38441,9.9
FL25,Florida,FL,25,FL-25,-4,Mario Diaz-Balart,R,No,"84,173","128,672",0,39.50,60.50,47.9,49.7,Urban-suburban mix,-4,R+4,26.5,3.9,68,1,0.2,0.3,22.7,33.9,46247,17.5
FL26,Florida,FL,26,FL-26,6,Debbie Mucarsel-Powell,D,Yes (to Democrats),"119,797","115,678",0,50.90,49.10,56.8,40.5,Urban-suburban mix,6,D+6,22.4,11.7,63.5,1.6,0.1,0.6,27.2,32.8,54453,15
FL27,Florida,FL,27,FL-27,5,Donna Shalala,D,Yes (to Democrats),"130,743","115,588","6,255",51.80,45.80,58.5,38.9,Urban-suburban mix,5,D+5,27.8,5,64.6,1.9,0.1,0.6,37.5,63.8,51958,9.9
