District,State,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,rep_party_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,winning_party_2012,rep_party_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,winning_party_2016,rep_party_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,winning_party_2018,COOK_PVI,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
IL-11,Illinois,Bill Foster,46500,25500,44700,61800,74300,61800,"314,600",49.0,314600,R,41.4,58.6,-17.2,D,D,,53.5,-53.5,,D,D,39.6,60.4,-20.8,D,DEM,36.4,63.6,-27.2,D,-9,64.4,11.9,16.1,6.0,0.1,1.5,36.0,42.5,72198,37.0,-23.43,-17.18,-24.08,Dense suburban
IL-12,Illinois,Mike Bost,37100,23300,41900,48900,69200,70700,"291,100",51.0,291100,Open Post-Redistrict,45.3,54.7,-9.4,D,D,,41.9,-41.9,,D,R,54.3,39.7,14.6,R,GOP,54.8,45.2,9.6,R,5,79.8,15.8,2.2,0.8,0.2,1.1,24.0,25.0,47430,59.8,14.84,-1.61,-11.14,Rural-suburban mix
IL-13,Illinois,Rodney Davis,33800,39800,39300,48000,60000,69800,"290,800",50.0,290800,Open Post-Redistrict,50.2,49.8,0.4,R,R,,41.3,-41.3,,D,R,59.7,40.3,19.4,R,GOP,50.5,49.5,1.0,R,3,83.9,10.1,2.4,1.9,0.2,1.5,30.2,30.1,49758,58.6,5.46,0.31,-11.09,Rural-suburban mix
IL-14,Illinois,Lauren Underwood,44500,23400,34600,59500,86700,75000,"323,600",51.0,323600,R,58.8,41.2,17.6,R,R,,34.6,-34.6,,D,R,59.3,40.7,18.6,R,DEM,48.1,51.9,-3.8,D,5,85.4,3.1,7.1,3.4,0.1,0.8,42.1,43.1,90345,48.6,3.89,10.02,-2.42,Sparse suburban
IL-15,Illinois,John Shimkus,37700,23600,39100,47600,64000,72400,"284,400",51.0,284400,R,68.6,31.4,37.2,R,R,,25.1,-25.1,,D,R,100.0,0.0,100.0,R,GOP,71.1,28.9,42.2,R,21,92.8,4.2,1.7,0.4,0.2,0.8,20.2,20.6,49927,73.6,46.2,29.88,12.63,Pure rural
IL-16,Illinois,Adam Kinzinger,38100,23900,36900,47900,71200,75200,"293,300",52.0,293300,R,61.8,38.2,23.6,R,R,,29.4,-29.4,,D,R,100.0,0.0,100.0,R,GOP,59.7,40.3,19.4,R,8,89.1,3.5,5.2,1.0,0.1,0.9,22.2,22.5,57182,69.0,17.16,7.72,-1.89,Rural-suburban mix
IL-17,Illinois,Cheri Bustos,36400,24100,37400,47100,62600,72200,"279,800",51.0,279800,R,46.7,53.3,-6.6,D,D,,55.5,-55.5,,D,D,39.7,60.3,-20.6,D,DEM,38.2,61.8,-23.6,D,-3,82.6,10.1,5.2,0.8,0.2,1.1,18.7,20.5,45360,65.6,0.7,-16.95,-21.51,Rural-suburban mix
IL-18,Illinois,Darin LaHood,38700,23400,39300,49800,69600,75800,"296,600",51.0,296600,R,74.2,25.8,48.4,R,R,,25.3,-25.3,,D,R,72.1,27.9,44.2,R,GOP,67.4,32.6,34.8,R,15,92.2,3.6,1.8,1.2,0.1,1.0,31.7,31.0,60857,63.6,27.39,23.26,10.27,Rural-suburban mix
IN-1,Indiana,Peter Visclosky,40500,24300,39800,52600,68600,73800,"299,700",51.0,299700,D,32.7,67.3,-34.6,D,D,,60.8,-60.8,,D,D,0.0,81.5,-81.5,D,DEM,34.9,65.1,-30.2,D,-8,68.2,18.4,11.5,0.8,0.2,0.9,22.6,25.8,56370,50.5,-12.56,-23.8,-27.54,Sparse suburban
IN-2,Indiana,Jackie Walorski,43100,25900,40000,50700,65400,71800,"296,800",50.0,296800,D,50.7,49.3,1.4,R,R,,38.3,-38.3,,D,R,59.3,36.9,22.4,R,GOP,54.8,45.2,9.6,R,11,87.3,6.2,4.2,0.8,0.3,1.1,20.8,22.1,51292,67.9,23.21,13.95,-0.24,Rural-suburban mix
IN-3,Indiana,Jim Banks,45400,25100,41100,51500,67800,71600,"302,400",50.0,302400,R,67.0,33,34,R,R,,26.7,-26.7,,D,Open-Used to be GOP,70.1,23.0,47.1,R,GOP,64.7,35.3,29.4,R,18,88.9,5.6,3.0,1.1,0.2,1.2,22.9,23.8,51453,67.7,34.99,26.84,13.01,Rural-suburban mix
IN-4,Indiana,Jim Baird,41200,35300,41300,51900,68000,72900,"310,500",50.0,310500,R,64.5,35.5,29,R,R,,33.1,-33.1,,D,R,64.6,30.5,34.1,R,GOP,64.3,35.7,28.6,R,17,91.6,3.4,2.8,1.2,0.2,0.8,26.0,26.6,53996,67.1,34.11,24.01,9.62,Rural-suburban mix
IN-5,Indiana,Susan Brooks,44400,22100,46300,58400,77900,77700,"326,800",51.0,326800,Open Post-Redistrict,60.8,39.2,21.6,R,R,,30.8,-30.8,,D,R,61.5,34.3,27.2,R,GOP,56.8,43.2,13.6,R,9,86.4,8.1,2.3,2.0,0.1,1.1,45.0,45.9,67461,46.7,11.8,16.79,6.06,Sparse suburban
IN-6,Indiana,Greg Pence,38500,27900,35800,48700,73000,73400,"297,400",51.0,297400,Open Post-Redistrict,62.7,37.3,25.4,R,R,,29.3,-29.3,,D,R,69.1,26.7,42.4,R,GOP,67.1,32.9,34.2,R,18,94.6,2.3,1.4,0.5,0.2,1.1,20.7,20.2,51033,75.4,40.34,23.16,11.36,Pure rural
IN-7,Indiana,Andre Carson,45900,28100,54200,55900,68100,59600,"311,900",49.0,311900,D,37.1,62.9,-25.8,D,D,,54.7,-54.7,,D,D,35.7,60.0,-24.3,D,DEM,35.1,64.9,-29.8,D,-11,63.7,29.4,3.8,1.2,0.3,1.7,23.5,29.4,41429,44.9,-22.85,-27.55,-33.5,Dense suburban
IN-8,Indiana,Larry Bucshon,38500,26500,39600,49600,67500,73000,"294,700",51.0,294700,R,55.4,44.6,10.8,R,R,,35.8,-35.8,,D,R,63.7,31.7,32.0,R,GOP,64.4,35.6,28.8,R,15,92.9,3.9,1.3,0.6,0.2,1.0,21.3,21.5,50261,72.9,33.72,18.77,2.46,Rural-suburban mix
IN-9,Indiana,Trey Hollingsworth,39400,32700,42600,51800,68900,70000,"305,400",50.0,305400,R,55.4,44.6,10.8,R,R,,33.7,-33.7,,D,Open-Used to be GOP,54.1,40.5,13.6,R,GOP,59.4,40.6,18.8,R,13,93.4,2.6,1.7,1.0,0.2,1.1,26.3,26.3,55078,68.8,26.9,16.48,6.44,Rural-suburban mix
IA-1,Iowa,Abby Finkenauer,42500,28900,42300,51300,72100,81100,"318,300",51.0,318300,D,42.2,57.8,-15.6,D,Open-Used to be Dem,,48.8,-48.8,,D,R,53.7,46.1,7.6,R,DEM,49.1,50.9,-1.8,D,-1,93.3,2.8,1.9,0.9,0.3,0.9,27.1,27.1,57402,68.0,3.55,-13.66,-18.1,Rural-suburban mix
IA-2,Iowa,Dave Loebsack,42200,30600,44800,52700,70400,78600,"319,300",50.0,319300,D,43.3,56.7,-13.4,D,D,,52.5,-52.5,,D,D,46.2,53.7,-7.5,D,DEM,45.2,54.8,-9.6,D,-1,91.2,3.1,3.3,1.1,0.2,1.1,28.5,28.7,52150,65.0,4.1,-13.04,-15.51,Rural-suburban mix
IA-3,Iowa,Cindy Axne,48400,25700,51300,61300,78300,78000,"343,000",50.0,343000,R,54.5,45.5,9,R,Open-Used to be GOP,,42.2,-42.2,,D,R,53.4,39.7,13.7,R,DEM,51.0,49.0,2.0,R,1,90.5,3.3,3.3,1.7,0.2,1.0,33.1,34.5,62323,59.3,3.53,-4.29,-6.16,Sparse suburban
IA-4,Iowa,Steve King,40900,32800,39300,46600,66800,81500,"307,900",51.0,307900,R,54.1,45.9,8.2,R,R,,38.3,-38.3,,D,R,61.2,38.6,22.6,R,GOP,53.0,47.0,6.0,R,11,93.7,1.2,3.0,0.9,0.4,0.8,24.7,24.8,53335,70.5,27.33,8.17,1.71,Pure rural
KS-1,Kansas,Roger Marshall,41100,32500,43400,44700,60000,68000,"289,700",49.0,289700,R,100.0,0,100,R,R,,32,-32,,D,Open-Used to be GOP,65.9,0.0,65.9,R,GOP,68.4,31.6,36.8,R,24,86.0,3.0,8.1,1.0,0.5,1.4,23.9,26.1,48156,63.5,44.97,42.42,36.17,Pure rural
KS-2,Kansas,Steve Watkins,39600,31600,39500,45800,62900,69700,"289,000",50.0,289000,R,59.3,40.7,18.6,R,R,,38.6,-38.6,,D,R,60.9,32.6,28.3,R,GOP,53.6,46.4,7.2,R,10,86.9,4.4,4.2,0.8,1.2,2.5,29.2,30.2,51778,60.6,18.4,13.15,7.55,Pure rural
KS-3,Kansas,Sharice Davids,46800,23100,47400,59600,73500,73200,"323,500",50.0,323500,R,100.0,0,100,R,R,,39.9,-39.9,,D,R,51.3,40.6,10.7,R,DEM,46.7,53.3,-6.6,D,4,81.4,8.5,5.5,2.6,0.3,1.6,47.4,52.3,71562,38.8,-1.22,9.53,1.13,Dense suburban
KS-4,Kansas,Ron Estes,44900,24400,44300,49200,63400,71900,"298,100",49.0,298100,R,66.3,33.7,32.6,R,R,,33.3,-33.3,,D,R,60.7,29.6,31.1,R,GOP,59.8,40.2,19.6,R,15,81.5,6.5,6.8,2.4,0.9,1.9,29.5,32.0,52054,55.4,27.22,25.5,19.11,Sparse suburban
KY-1,Kentucky,James Comer,38600,25800,37800,47000,63500,67400,"280,100",50.0,280100,R,69.6,30.4,39.2,R,R,,26.9,-26.9,,D,Open-Used to be GOP,72.6,27.3,45.3,R,GOP,68.6,31.4,37.2,R,23,90.1,6.9,1.5,0.4,0.2,0.9,15.7,16.1,40253,75.6,48.49,34.3,24.73,Pure rural
KY-2,Kentucky,Brett Guthrie,41600,27600,41100,54000,71600,68700,"304,500",50.0,304500,R,67.0,33,34,R,R,,30.8,-30.8,,D,R,100.0,0.0,100.0,R,GOP,68.9,31.1,37.8,R,19,90.8,5.4,1.6,0.8,0.2,1.2,20.9,21.1,49960,71.6,39.93,28.13,24.3,Pure rural
KY-3,Kentucky,John Yarmuth,39500,23900,49100,53500,70400,73300,"309,700",51.0,309700,D,35.1,64.9,-29.8,D,D,,63.5,-63.5,,D,D,36.5,63.5,-27.0,D,DEM,37.9,62.1,-24.2,D,-6,74.6,20.0,2.3,1.4,0.1,1.5,30.9,34.6,51070,48.8,-14.95,-12.93,-13.41,Dense suburban
KY-4,Kentucky,Thomas Massie,43200,22700,42700,57500,74900,72500,"313,400",51.0,313400,Open Post-Redistrict,64.0,36,28,R,R,,32.3,-32.3,,D,R,71.3,28.7,42.6,R,GOP,65.4,34.6,30.8,R,18,93.4,3.3,1.5,0.6,0.1,1.0,28.3,28.3,60912,67.0,35.91,28.55,24.48,Rural-suburban mix
KY-5,Kentucky,Hal Rogers,37500,22400,36900,51400,62600,61700,"272,500",50.0,272500,R,77.9,22.1,55.8,R,R,,21.7,-21.7,,D,R,100.0,0.0,100.0,R,GOP,78.9,21.1,57.8,R,31,96.7,1.5,0.7,0.2,0.2,0.6,12.4,12.5,30585,84.6,62.12,51.77,35.05,Pure rural
KY-6,Kentucky,Andy Barr,40000,33000,45600,56600,71500,68600,"315,300",50.0,315300,D,52.0,48,4,R,R,,40,-40,,D,R,61.1,38.9,22.2,R,GOP,52.2,47.8,4.4,R,9,87.6,8.5,1.6,0.9,0.2,1.3,31.7,33.1,50659,58.6,15.28,13.63,8.87,Rural-suburban mix
LA-1,Louisiana,Steve Scalise,44200,25900,51700,55800,77800,82300,"337,800",51.0,337800,R,78.0,22,56,R,R,,18.9,-18.9,,D,R,74.6,19.5,55.1,R,GOP,83.6,16.4,67.2,R,24,78.1,12.6,5.4,1.6,1.1,1.2,30.3,33.4,56938,51.9,42.0,43.99,47.34,Rural-suburban mix
LA-2,Louisiana,Cedric Richmond,43400,28900,56700,57800,70300,73900,"331,000",50.0,331000,D,17.9,82.1,-64.2,D,D,,85.8,-85.8,,D,D,0.0,100.0,-100.0,D,DEM,19.4,80.6,-61.2,D,-25,31.7,61.5,3.7,2.0,0.2,1.0,23.4,36.4,36798,20.1,-52.37,-53.03,-47.91,Dense suburban
LA-3,Louisiana,Clay Higgins,46700,27100,51600,54300,71300,70900,"321,900",49.0,321900,R,78.2,21.8,56.4,R,R,,0,0,,D,Open-Used to be GOP,80.7,17.5,63.2,R,GOP,82.2,17.8,64.4,R,20,72.1,23.6,2.0,0.9,0.4,1.1,21.0,24.0,44668,54.7,38.12,33.84,30.19,Rural-suburban mix
LA-4,Louisiana,Mike Johnson,44500,27000,47000,53500,63500,68300,"303,900",49.0,303900,R,100.0,0,100,R,R,,0,0,,D,Open-Used to be GOP,69.8,28.2,41.6,R,GOP,66.4,33.6,32.8,R,13,61.9,33.1,2.4,0.8,0.8,1.0,19.9,22.9,39748,47.7,23.98,19.37,18.92,Pure rural
LA-5,Louisiana,Ralph Abraham,42600,26000,44700,53600,65800,65700,"298,500",50.0,298500,R,100.0,0,100,R,Open-Used to be GOP,,35.8,-35.8,,D,R,100.0,0.0,100.0,R,GOP,70.0,30.0,40.0,R,15,63.1,34.0,1.3,0.4,0.4,0.7,16.8,19.7,36718,50.7,29.37,23.35,25.3,Pure rural
LA-6,Louisiana,Garret Graves,45100,32700,50800,56400,71000,72000,"328,100",50.0,328100,R,100.0,0,100,R,Open-Used to be GOP,,37.6,-37.6,,D,R,72.8,23.9,48.9,R,GOP,79.5,20.5,59.0,R,19,72.0,22.6,2.5,1.5,0.4,1.1,27.9,30.8,59270,49.8,33.8,34.19,36.59,Rural-suburban mix
ME-1,Maine,Chellie Pingree,30700,21200,34700,45400,71300,78500,"281,700",54.0,281700,D,35.2,64.8,-29.6,D,D,,60.4,-60.4,,D,D,41.9,58.0,-16.1,D,DEM,41.2,58.8,-17.6,D,-8,95.4,0.9,1.2,1.0,0.3,1.2,36.9,37.3,61173,59.8,-14.83,-21.39,-23.2,Rural-suburban mix
ME-2,Maine,Jared Golden,30500,20000,33700,41100,66200,75100,"266,500",53.0,266500,D,41.8,58.2,-16.4,D,Open-Used to be Dem,,41.8,-41.8,,D,R,54.8,45.2,9.6,R,DEM,54.5,45.5,9.0,R,2,96.0,0.4,1.0,0.4,0.8,1.4,23.0,23.1,46638,73.8,10.28,-8.59,-11.21,Pure rural
MD-1,Maryland,Andy Harris,37300,25200,36100,47600,79400,81000,"306,500",52.0,306500,R,69.8,30.2,39.6,R,R,,29.5,-29.5,,D,R,67.0,28.6,38.4,R,GOP,62.4,37.6,24.8,R,14,84.0,11.2,1.9,1.5,0.2,1.1,30.6,32.2,69254,56.9,28.57,22.67,21.2,Rural-suburban mix
MD-2,Maryland,Dutch Ruppersberger,42200,26600,52300,56600,76600,73300,"327,700",51.0,327700,D,32.2,67.8,-35.6,D,D,,61.3,-61.3,,D,D,33.1,62.1,-29.0,D,DEM,34.2,65.8,-31.6,D,-11,59.1,31.9,3.3,3.7,0.3,1.7,33.4,33.4,69128,39.3,-24.38,-28.07,-23.08,Dense suburban
MD-3,Maryland,John Sarbanes,38700,24900,58600,59400,67100,73100,"321,900",51.0,321900,D,30.7,69.3,-38.6,D,D,,59.5,-59.5,,D,D,33.9,63.2,-29.3,D,DEM,31.4,68.6,-37.2,D,-13,67.6,20.3,4.5,5.5,0.2,1.9,47.2,51.7,83620,32.6,-30.51,-23.6,-22.12,Dense suburban
MD-4,Maryland,Anthony Brown,41400,23400,51600,57700,80300,71300,"325,700",51.0,325700,D,21.2,78.8,-57.6,D,D,,70.2,-70.2,,D,Open-Used to be Dem,21.4,74.1,-52.7,D,DEM,22.1,77.9,-55.8,D,-28,31.7,58.1,5.6,2.7,0.2,1.7,34.0,50.2,79350,15.8,-57.48,-57.3,-55.49,Dense suburban
MD-5,Maryland,Steny Hoyer,40700,30600,44000,56800,86500,81500,"340,100",52.0,340100,D,28.5,71.5,-43,D,D,,64,-64,,D,D,29.4,67.4,-38.0,D,DEM,29.8,70.2,-40.4,D,-16,51.6,38.5,4.1,3.2,0.3,2.3,33.7,34.5,95442,33.7,-31.98,-33.73,-31.48,Sparse suburban
MD-6,Maryland,David Trone,43300,24800,43600,58400,83600,75800,"329,600",51.0,329600,R,39.2,60.8,-21.6,D,D,,49.7,-49.7,,D,D,40.1,56.0,-15.9,D,DEM,42.3,57.7,-15.4,D,-6,70.1,12.4,7.0,8.7,0.2,1.8,41.5,40.8,75774,41.4,-15.01,-12.34,-14.28,Sparse suburban
MD-7,Maryland,Elijah Cummings,36300,25600,48200,49600,71000,71300,"302,100",51.0,302100,D,21.4,78.6,-57.2,D,D,,69.9,-69.9,,D,D,21.8,74.9,-53.1,D,DEM,23.9,76.1,-52.2,D,-26,36.9,54.5,2.3,4.6,0.3,1.5,37.8,58.7,61392,15.2,-55.56,-53.86,-53.8,Urban-suburban mix
MD-8,Maryland,Jamie Raskin,40700,23300,44600,60200,83100,80500,"332,400",52.0,332400,D,34.2,65.8,-31.6,D,D,,60.7,-60.7,,D,Open-Used to be Dem,34.2,60.6,-26.4,D,DEM,33.1,66.9,-33.8,D,-14,70.9,11.0,8.0,8.2,0.2,1.8,55.6,61.6,98991,27.2,-34.42,-25.95,-27.25,Dense suburban
MA-1,Massachusetts,Richard Neal,36600,29000,39900,48700,73300,78600,"306,100",52.0,306100,D,0.0,100,-100,D,D,,98,-98,,D,D,0.0,73.3,-73.3,D,DEM,0.0,100.0,-100.0,D,-12,79.0,5.0,13.5,1.3,0.1,1.0,29.7,33.4,55716,52.5,-20.65,-29.69,-30.41,Sparse suburban
MA-2,Massachusetts,Jim McGovern,35700,34000,42300,51900,78600,77200,"319,600",52.0,319600,D,0.0,100,-100,D,D,,98.2,-98.2,,D,D,0.0,98.2,-98.2,D,DEM,32.8,67.2,-34.4,D,-9,85.2,3.3,7.0,3.3,0.2,1.1,38.4,39.4,64868,51.5,-19.37,-19.52,-22.91,Rural-suburban mix
MA-3,Massachusetts,Lori Trahan,41500,25900,42400,55700,84000,78700,"328,000",52.0,328000,D,34.0,66,-32,D,D,,63,-63,,D,D,31.2,68.7,-37.5,D,DEM,38.0,62.0,-24.0,D,-9,77.6,2.3,13.3,5.7,0.1,1.0,37.4,41.4,77995,45.3,-22.84,-15.5,-19.45,Sparse suburban
MA-4,Massachusetts,Joe Kennedy,41000,25500,38000,54200,83400,79700,"321,900",52.0,321900,Open Post-Redistrict,37.0,63,-26,D,D,,97.9,-97.9,,D,D,29.8,70.1,-40.3,D,DEM,0.0,100.0,-100.0,D,-9,89.2,2.5,3.3,3.9,0.0,1.1,51.0,50.3,98530,44.2,-24.17,-15.95,-22.55,Sparse suburban
MA-5,Massachusetts,Katherine Clark,36500,25400,52300,61400,80500,77300,"333,400",52.0,333400,D,24.4,75.6,-51.2,D,D,,98.3,-98.3,,D,D,0.0,98.6,-98.6,D,DEM,24.2,75.8,-51.6,D,-18,82.0,3.7,5.8,7.0,0.1,1.4,57.4,59.6,92268,33.0,-43.64,-32.06,-34.1,Urban-suburban mix
MA-6,Massachusetts,Seth Moulton,38300,25400,40300,52900,82900,85100,"324,900",53.0,324900,D,49.4,50.6,-1.2,D,Open-Used to be Dem,,55,-55,,D,D,0.0,98.4,-98.4,D,DEM,34.8,65.2,-30.4,D,-6,89.0,2.3,5.0,2.8,0.1,0.9,44.0,46.2,84913,47.8,-17.86,-10.86,-15.51,Sparse suburban
MA-7,Massachusetts,Ayanna Pressley,31300,46100,82300,57700,60600,57100,"335,000",49.0,335000,D,0.0,100,-100,D,D,,98.3,-98.3,,D,D,0.0,98.6,-98.6,D,DEM,0.0,100.0,-100.0,D,-34,53.1,23.0,14.0,7.7,0.2,2.0,42.9,64.5,60873,18.7,-72.21,-66.81,-65.21,Pure urban
MA-8,Massachusetts,Stephen Lynch,36900,22700,57000,55800,80400,77000,"329,800",52.0,329800,D,23.8,76.2,-52.4,D,D,,98.7,-98.7,,D,D,27.5,72.4,-44.9,D,DEM,0.0,100.0,-100.0,D,-10,81.4,7.6,4.2,5.5,0.1,1.2,46.8,50.3,82333,40.2,-26.05,-16.94,-17.31,Dense suburban
MA-9,Massachusetts,Bill Keating,33800,23600,32900,47100,79500,87300,"304,300",54.0,304300,D,35.4,64.6,-29.2,D,D,,54.9,-54.9,,D,D,33.6,55.7,-22.1,D,DEM,40.7,59.3,-18.6,D,-4,91.9,2.3,3.3,1.0,0.2,1.3,35.9,37.5,68173,56.7,-10.72,-12.4,-17.16,Sparse suburban
MI-1,Michigan,Jack Bergman,31500,22800,32600,41500,66300,84200,"278,900",53.0,278900,R,50.3,49.7,0.6,R,R,,45.3,-45.3,,D,Open-Used to be GOP,54.9,40.1,14.8,R,GOP,56.3,43.7,12.6,R,9,92.9,1.8,1.2,0.4,2.1,1.6,24.6,25.2,46927,69.5,21.31,8.26,-1.29,Pure rural
MI-2,Michigan,Bill Huizenga,42400,28800,42100,47900,68200,67700,"297,200",50.0,297200,R,64.1,35.9,28.2,R,R,,33.3,-33.3,,D,R,62.6,32.5,30.1,R,GOP,57.0,43.0,14.0,R,9,85.5,5.8,5.3,1.5,0.4,1.6,23.8,25.7,52919,63.4,17.53,12.93,2.31,Rural-suburban mix
MI-3,Michigan,Justin Amash,42500,24800,45200,51000,68800,72200,"304,600",50.0,304600,R,54.4,45.6,8.8,R,R,,39,-39,,D,R,59.5,37.5,22.0,R,DEM,57.5,42.5,15.0,R,6,85.5,7.9,3.7,1.0,0.4,1.5,31.4,33.6,57926,56.7,9.45,7.38,-1.06,Rural-suburban mix
MI-4,Michigan,John Moolenaar,34800,29300,35400,42500,67500,74100,"283,700",51.0,283700,R,65.3,34.7,30.6,R,Open-Used to be GOP,,39.1,-39.1,,D,R,61.6,32.1,29.5,R,GOP,62.6,37.4,25.2,R,10,93.5,1.9,2.3,0.5,0.6,1.2,21.9,21.7,48434,73.2,24.82,8.02,-1.05,Pure rural
MI-5,Michigan,Daniel Kildee,36500,21800,36400,46100,64500,70400,"275,700",51.0,275700,D,32.6,67.4,-34.8,D,D,,66.7,-66.7,,D,D,35.1,61.2,-26.1,D,DEM,40.5,59.5,-19.0,D,-5,77.4,16.3,3.8,0.6,0.3,1.6,19.0,20.4,42800,61.6,-4.27,-22.39,-27.68,Sparse suburban
MI-6,Michigan,Fred Upton,39100,29100,38900,46700,66500,72300,"292,600",50.0,292600,R,56.2,43.8,12.4,R,R,,40.4,-40.4,,D,R,58.6,36.4,22.2,R,GOP,54.3,45.7,8.6,R,4,86.0,7.5,3.4,1.0,0.3,1.8,28.0,29.2,51477,60.8,8.44,1.34,-7.92,Rural-suburban mix
MI-7,Michigan,Tim Walberg,36500,22500,35200,47600,71800,78300,"291,900",52.0,291900,R,55.4,44.6,10.8,R,R,,41.2,-41.2,,D,R,55.1,40.0,15.1,R,GOP,53.8,46.2,7.6,R,7,90.7,4.1,3.1,0.6,0.4,1.1,24.6,24.8,56427,68.1,17.07,3.09,-3.4,Pure rural
MI-8,Michigan,Elissa Slotkin,37700,34300,37800,50000,76700,77000,"313,600",51.0,313600,R,61.1,38.9,22.2,R,Open-Used to be GOP,,42.1,-42.1,,D,R,56.0,39.2,16.8,R,DEM,49.4,50.6,-1.2,D,4,87.2,5.2,3.6,2.1,0.2,1.6,40.6,40.0,66495,52.3,6.79,3.17,-5.65,Sparse suburban
MI-9,Michigan,Andy Levin,34500,21300,46600,50100,74500,75900,"302,900",52.0,302900,D,35.5,64.5,-29,D,D,,60.4,-60.4,,D,D,37.4,57.9,-20.5,D,DEM,40.4,59.6,-19.2,D,-4,82.1,11.5,1.8,2.8,0.3,1.5,30.3,30.4,56582,57.1,-7.73,-15.31,-18.02,Dense suburban
MI-10,Michigan,Paul Mitchell,38800,21100,34300,50800,77100,78400,"300,500",52.0,300500,R,69.8,30.2,39.6,R,R,,29.4,-29.4,,D,Open-Used to be GOP,63.1,32.3,30.8,R,GOP,65.0,35.0,30.0,R,13,92.5,2.9,2.1,1.2,0.2,1.1,23.0,22.9,60934,71.3,32.17,11.56,2.03,Rural-suburban mix
MI-11,Michigan,Haley Stevens,38700,20400,39900,52700,86000,81000,"318,600",53.0,318600,Open Post-Redistrict,53.4,46.6,6.8,R,Open-Used to be GOP,,40.5,-40.5,,D,R,52.9,40.2,12.7,R,DEM,48.2,51.8,-3.6,D,4,85.6,5.4,2.2,5.3,0.2,1.3,46.6,44.3,79805,47.6,4.37,5.39,-1.87,Sparse suburban
MI-12,Michigan,Debbie Dingell,35900,35700,44200,49400,64500,66100,"295,700",50.0,295700,D,29.9,70.1,-40.2,D,Open-Used to be Dem,,65,-65,,D,D,29.3,64.3,-35.0,D,DEM,31.8,68.2,-36.4,D,-14,80.0,10.3,4.3,3.1,0.3,2.1,34.0,34.0,55506,52.7,-26.35,-33.43,-35.52,Dense suburban
MI-13,Michigan,Rashida Tlaib,39600,25800,41600,45100,60200,60200,"272,400",49.0,272400,D,14.1,85.9,-71.8,D,D,,79.5,-79.5,,D,D,15.7,77.1,-61.4,D,DEM,15.4,84.6,-69.2,D,-33,37.3,56.6,3.5,0.7,0.4,1.4,14.7,16.9,33995,30.8,-60.67,-70.87,-70.65,Dense suburban
MI-14,Michigan,Brenda Lawrence,39300,24500,41300,48700,62000,66200,"281,900",50.0,281900,D,16.0,84,-68,D,Open-Used to be Dem,,77.8,-77.8,,D,D,18.7,78.5,-59.8,D,DEM,19.2,80.8,-61.6,D,-30,33.5,58.8,2.9,2.6,0.3,2.0,30.8,48.5,42695,17.2,-60.93,-62.36,-65.11,Dense suburban
MN-1,Minnesota,Jim Hagedorn,36600,26800,36500,43800,62000,70600,"276,300",51.0,276300,D,42.4,57.6,-15.2,D,D,,54.2,-54.2,,D,D,49.6,50.3,-0.7,D,GOP,50.2,49.8,0.4,R,5,92.8,1.9,2.7,1.6,0.2,0.8,28.0,29.0,60424,65.8,14.91,-1.35,-4.14,Rural-suburban mix
MN-2,Minnesota,Angie Craig,41800,22100,39500,54000,75100,71600,"304,100",51.0,304100,R,54.1,45.9,8.2,R,R,,38.9,-38.9,,D,Open-Used to be GOP,47.0,45.2,1.8,R,DEM,47.2,52.8,-5.6,D,2,88.7,3.3,2.8,3.5,0.4,1.3,38.5,40.0,80128,53.2,1.2,-0.06,-2.88,Sparse suburban
MN-3,Minnesota,Dean Phillips,39600,18500,41600,50600,76500,83400,"310,200",52.0,310200,R,58.2,41.8,16.4,R,R,,37.8,-37.8,,D,R,56.7,43.0,13.7,R,DEM,44.3,55.7,-11.4,D,-1,86.8,4.9,1.9,4.8,0.2,1.3,49.0,51.1,84689,42.4,-9.46,-0.82,-3.66,Sparse suburban
MN-4,Minnesota,Betty McCollum,40300,25000,49500,48800,66100,68800,"298,500",50.0,298500,D,33.6,66.4,-32.8,D,D,,61.2,-61.2,,D,D,34.4,57.8,-23.4,D,DEM,34.0,66.0,-32.0,D,-14,78.6,7.6,3.7,7.6,0.5,2.0,42.2,47.9,66175,40.9,-30.97,-26.99,-27.09,Dense suburban
