District,State,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,rep_party_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,winning_party_2012,rep_party_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,winning_party_2016,rep_party_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,winning_party_2018,COOK_PVI,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
CA-25,California,Katie Hill,44000,26800,41500,53700,78100,66700,"310,900",50.0,310900,R,54.8,45.2,9.6,R,Open-Used to be GOP,100.0,0,100,,R,R,53.1,46.9,6.2,R,DEM,47.4,52.6,-5.2,D,0,52.4,8.1,29.0,7.7,0.3,2.5,27.8,33.3,75367,34.9,-6.68,1.81,-0.6,Dense suburban
CA-26,California,Julia Brownley,41800,26400,43400,52300,72100,72700,"308,700",51.0,308700,Open Post-Redistrict,47.3,52.7,-5.4,D,D,48.7,51.3,-2.6,,D,D,39.6,60.4,-20.8,D,DEM,39.9,60.1,-20.2,D,-7,57.0,2.1,32.0,6.6,0.3,2.0,34.1,46.3,76914,30.6,-21.84,-10.26,-15.1,Dense suburban
CA-27,California,Judy Chu,34900,21600,44900,58600,78000,77900,"315,800",53.0,315800,D,36.0,64,-28,D,D,40.6,59.4,-18.8,,D,D,32.6,67.4,-34.8,D,DEM,20.9,79.1,-58.2,D,-16,33.5,5.4,24.5,34.7,0.2,1.7,40.5,53.1,71223,15.6,-37.65,-27.62,-25.5,Urban-suburban mix
CA-28,California,Adam Schiff,27000,20200,64500,57900,78900,74900,"323,300",54.0,323300,D,23.5,76.5,-53,D,D,0.0,76.5,-76.5,,D,D,22.0,78.0,-56.0,D,DEM,22.6,77.4,-54.8,D,-23,62.1,3.3,19.9,12.1,0.2,2.5,46.2,51.6,63940,29.9,-49.8,-43.76,-43.8,Pure urban
CA-29,California,Tony Cardenas,41800,27800,56500,60400,67000,58800,"312,200",49.0,312200,Open Post-Redistrict,0.0,100,-100,D,D,25.4,74.6,-49.2,,D,D,0.0,100.0,-100.0,D,DEM,20.3,79.7,-59.4,D,-29,28.3,5.4,55.3,9.4,0.3,1.2,19.2,34.5,50655,18.4,-60.94,-56.51,-51.3,Pure urban
CA-30,California,Brad Sherman,36500,25200,56500,65000,82400,72700,"338,300",52.0,338300,D,0.0,100,-100,D,D,34.4,65.6,-31.2,,D,D,27.4,72.6,-45.2,D,DEM,27.5,72.5,-45.0,D,-18,59.7,5.2,21.0,11.5,0.2,2.4,42.4,49.3,76778,30.2,-43.41,-33.17,-34.9,Urban-suburban mix
CA-31,California,Pete Aguilar,46900,32100,52300,55200,65500,59200,"311,100",48.0,311100,R,100.0,0,100,R,Open-Used to be GOP,48.3,51.7,-3.4,,D,D,43.9,56.1,-12.2,D,DEM,42.5,57.5,-15.0,D,-8,35.2,12.0,43.3,7.2,0.3,2.1,22.7,33.7,58668,23.2,-21.09,-16.59,-14.9,Dense suburban
CA-32,California,Grace Napolitano,39600,29100,48800,53400,74700,67500,"313,100",50.0,313100,D,34.3,65.7,-31.4,D,D,40.3,59.7,-19.4,,D,D,0.0,100.0,-100.0,D,DEM,32.6,67.4,-34.8,D,-17,22.6,3.5,54.3,18.1,0.3,1.3,21.4,30.6,67101,15.6,-38.87,-32.71,-27.5,Urban-suburban mix
CA-33,California,Ted Lieu,33000,25000,44000,57600,80400,73200,"313,200",53.0,313200,D,46.0,54,-8,D,Open-Used to be Dem,40.8,59.2,-18.4,,D,D,33.6,66.4,-32.8,D,DEM,30.8,69.2,-38.4,D,-16,71.1,2.9,11.0,11.9,0.2,2.9,65.4,68.1,101956,22.6,-41.33,-23.83,-31.2,Urban-suburban mix
CA-34,California,Jimmy Gomez,37800,29200,64500,64500,67500,58200,"321,700",50.0,321700,D,14.4,85.6,-71.2,D,D,0.0,100,-100,,D,D,0.0,100.0,-100.0,D,DEM,26.6,73.4,-46.8,D,-35,17.9,7.1,51.0,22.2,0.3,1.5,25.4,59.4,40847,7.2,-72.85,-68.82,-58.4,Pure urban
