District,State_x,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,State_Abbreviation,CD#,2018_Cook_PVI_Score,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
NY-16,New York,Eliot Engel,40800,25600,39600,58600,77700,70200,"312,500",51.0,312500,NY,16,24,D,No,"182,044",0,0,100.0,0.0,75.1,22.5,Pure urban,D+24,43.1,31.2,20.0,4.4,0.2,1.0,40.6,57.5,69086,18.2
NY-17,New York,Nita Lowey,43100,24800,39700,51400,77500,78200,"314,800",51.0,314800,NY,17,7,D,No,"170,168",0,"23,150",88.0,0.0,58.6,38.4,Sparse suburban,D+7,69.8,10.3,13.4,5.2,0.1,1.1,44.5,52.2,94451,33.3
NY-18,New York,Sean Patrick Maloney,40400,27600,35200,49600,80300,72500,"305,600",51.0,305600,NY,18,-1,D,No,"139,564","112,035",0,55.5,44.5,47.1,49.0,Rural-suburban mix,R+1,75.5,8.7,11.9,2.4,0.2,1.3,35.7,39.1,80493,45.8
NY-19,New York,Antonio Delgado,32400,26100,33800,44600,75300,81700,"294,000",53.0,294000,NY,19,-2,D,Yes (to Democrats),"147,873","132,873","7,148",51.4,46.2,44.0,50.8,Pure rural,R+2,88.8,3.8,5.0,1.1,0.1,1.2,29.2,30.1,59619,62.0
NY-20,New York,Paul Tonko,34500,32100,43800,49800,69800,74800,"304,700",51.0,304700,NY,20,7,D,No,"176,811","89,058",0,66.5,33.5,54.0,40.5,Sparse suburban,D+7,82.9,8.2,4.6,2.7,0.1,1.4,38.7,41.1,64226,48.7
NY-21,New York,Elise Stefanik,35400,27200,39200,47400,72600,73500,"295,300",52.0,295300,NY,21,-4,R,No,"99,791","131,981","3,437",42.4,56.1,40.0,53.9,Pure rural,R+4,91.9,3.1,2.7,0.6,0.8,1.0,23.2,23.6,52350,70.1
NY-22,New York,Anthony Brindisi,35000,30200,36800,42900,70100,74100,"289,000",51.0,289000,NY,22,-6,D,Yes (to Democrats),"127,715","123,242",0,50.9,49.1,39.3,54.8,Rural-suburban mix,R+6,91.3,3.3,2.7,1.4,0.2,1.0,26.0,26.5,52967,67.0
NY-23,New York,Tom Reed,34200,33200,37200,42400,66900,75700,"289,400",51.0,289400,NY,23,-6,R,No,"109,932","130,323",0,45.8,54.2,39.7,54.5,Pure rural,R+6,91.6,2.8,2.9,1.2,0.5,1.1,26.1,25.7,48730,68.0
NY-24,New York,John Katko,36200,27200,41000,45200,71200,75800,"296,600",52.0,296600,NY,24,3,R,No,"123,226","136,920",0,47.4,52.6,48.9,45.3,Rural-suburban mix,D+3,86.8,7.0,3.1,1.3,0.5,1.3,30.3,31.4,56388,59.5
NY-25,New York,Joe Morelle,36400,27900,45700,47000,69300,73300,"299,500",51.0,299500,NY,25,8,D,No,"159,244","110,736",0,59.0,41.0,55.5,39.1,Sparse suburban,D+8,76.4,13.5,6.5,2.1,0.2,1.3,37.3,42.9,53723,43.5
NY-26,New York,Brian Higgins,36300,28200,48800,42500,61800,71200,"288,700",50.0,288700,NY,26,11,D,No,"169,166","61,488",5,73.3,26.7,57.6,38.0,Urban-suburban mix,D+11,75.5,16.5,4.7,1.7,0.3,1.2,30.8,34.1,47358,49.7
NY-27,New York,Chris Collins,33800,22700,35100,47700,81600,84800,"305,600",54.0,305600,NY,27,-11,R,No,"139,059","140,146","5,973",48.8,49.1,35.2,59.7,Pure rural,R+11,93.6,2.5,1.9,0.8,0.6,0.7,30.7,31.0,62698,64.5
NC-1,North Carolina,G.K. Butterfield,39200,28900,46400,52800,66400,63700,"297,500",50.0,297500,NC,1,17,D,No,"190,457","82,218",0,69.8,30.2,67.5,30.5,Rural-suburban mix,D+17,47.8,46.1,2.6,1.3,0.7,1.4,27.7,37.7,40895,29.7
NC-2,North Carolina,George Holding,47000,24400,47800,64100,73300,58500,"315,100",49.0,315100,NC,2,-7,R,No,"151,977","170,072","9,655",45.8,51.3,43.6,53.2,Rural-suburban mix,R+7,72.2,20.5,4.1,1.4,0.5,1.3,36.2,40.5,65792,42.9
NC-3,North Carolina,Walter Jones,39800,45300,45900,47300,60900,59900,"299,000",48.0,299000,NC,3,-12,R,No,0,"187,901",0,0.0,100.0,36.9,60.5,Pure rural,R+12,72.2,20.6,4.3,1.0,0.4,1.6,22.8,25.9,47565,53.4
NC-4,North Carolina,David Price,45700,27600,51900,66400,74300,56300,"322,100",49.0,322100,NC,4,17,D,No,"247,067","82,052","12,284",72.4,24.0,68.2,28.2,Sparse suburban,D+17,66.0,23.3,3.9,4.9,0.4,1.6,54.5,63.9,70587,23.8
NC-5,North Carolina,Virginia Foxx,38800,27800,38800,52300,69500,64200,"291,300",50.0,291300,NC,5,-10,R,No,"120,468","159,917",0,43.0,57.0,39.8,57.4,Rural-suburban mix,R+10,80.3,14.4,3.1,0.9,0.3,0.9,26.3,27.7,45001,58.0
NC-6,North Carolina,Mark Walker,40400,24000,39200,54300,71200,64900,"293,900",50.0,293900,NC,6,-9,R,No,"123,651","160,709",0,43.5,56.5,41.4,56.1,Rural-suburban mix,R+9,73.8,20.6,3.1,1.0,0.4,1.1,24.6,28.3,47335,52.8
NC-7,North Carolina,David Rouzer,39700,28900,41900,53900,67500,67900,"299,700",50.0,299700,NC,7,-9,R,No,"120,838","156,809","4,665",42.8,55.5,39.9,57.6,Pure rural,R+9,74.7,20.0,2.8,0.6,0.7,1.2,24.9,29.7,45002,52.4
NC-8,North Carolina,Richard Hudson,45000,29300,46700,55300,66800,57400,"300,500",49.0,300500,NC,8,-8,R,No,"114,119","141,402",0,44.7,55.3,41.1,56.1,Pure rural,R+8,67.6,22.6,5.4,1.5,1.0,1.8,26.5,29.5,50570,47.6
NC-9,North Carolina,Undecided,47000,26900,45100,60100,70600,56800,"306,400",49.0,306400,NC,9,-8,R,No,"138,341","139,246","5,130",48.9,49.3,42.8,54.4,Sparse suburban,R+8,65.7,20.0,3.1,1.7,8.3,1.3,33.8,41.5,55913,38.4
NC-10,North Carolina,Patrick McHenry,39200,23900,38500,54800,71900,66500,"294,800",51.0,294800,NC,10,-12,R,No,"113,259","164,969",0,40.7,59.3,36.4,61.0,Rural-suburban mix,R+12,83.5,11.7,2.4,1.1,0.3,0.9,24.6,26.5,46508,61.3
NC-11,North Carolina,Mark Meadows,34600,21300,36200,50100,67700,70600,"280,500",52.0,280500,NC,11,-14,R,No,"116,508","178,012","6,146",38.7,59.2,34.0,63.2,Pure rural,R+14,91.6,3.1,2.0,0.9,1.3,1.0,24.0,25.2,43855,68.5
NC-12,North Carolina,Alma Adams,46500,28700,59500,68200,71600,54400,"328,900",49.0,328900,NC,12,18,D,No,"203,974","75,164",0,73.1,26.9,68.4,28.4,Sparse suburban,D+18,49.7,39.4,5.6,3.1,0.3,2.0,39.8,52.3,59268,23.7
NC-13,North Carolina,Ted Budd,41500,25300,41400,56000,73200,62200,"299,700",50.0,299700,NC,13,-6,R,No,"130,402","147,570","8,344",45.5,51.5,44.0,53.4,Rural-suburban mix,R+6,72.1,21.9,2.7,1.9,0.4,1.1,27.0,29.6,47440,50.7
ND-AL,North Dakota,Kelly Armstrong,40800,34500,52000,50500,64400,73700,"316,000",50.0,316000,ND,AL,-16,R,No,"114,377","193,568","13,587",35.6,60.2,27.7,64.1,Rural-suburban mix,R+16,90.1,1.4,2.2,0.6,4.3,1.4,29.6,31.0,60656,62.1
OH-1,Ohio,Steve Chabot,41400,25500,42400,51600,74100,71400,"306,400",51.0,306400,OH,1,-5,R,No,"141,118","154,409","5,344",46.9,51.3,44.6,51.2,Sparse suburban,R+5,74.5,20.7,1.4,1.8,0.1,1.3,33.8,37.8,55712,46.3
OH-2,Ohio,Brad Wenstrup,39700,21000,45300,51300,68500,75100,"300,800",51.0,300800,OH,2,-9,R,No,"119,333","166,714","3,614",41.2,57.6,39.7,55.8,Rural-suburban mix,R+9,88.2,8.2,1.2,0.8,0.2,1.4,32.3,33.1,55472,59.0
OH-3,Ohio,Joyce Beatty,44700,32600,63300,56700,64600,62400,"324,400",49.0,324400,OH,3,19,D,No,"181,575","65,040",62,73.6,26.4,67.0,28.6,Dense suburban,D+19,62.0,30.3,2.7,2.0,0.2,2.8,27.8,33.1,45860,41.4
OH-4,Ohio,Jim Jordan,38800,23500,38100,48400,68600,80300,"297,600",52.0,297600,OH,4,-14,R,No,"89,412","167,993",0,34.7,65.3,30.7,64.3,Rural-suburban mix,R+14,90.4,5.1,2.5,0.5,0.2,1.2,17.9,18.1,52632,74.0
OH-5,Ohio,Bob Latta,39800,26800,39300,49100,66700,76000,"297,800",51.0,297800,OH,5,-11,R,No,"99,655","176,569","7,393",35.1,62.3,34.6,59.7,Rural-suburban mix,R+11,91.7,2.8,3.7,0.9,0.1,0.8,26.2,26.1,57171,67.8
OH-6,Ohio,Bill Johnson,34500,21000,34600,48000,67700,79200,"284,900",53.0,284900,OH,6,-16,R,No,"76,716","172,774",0,30.7,69.3,26.7,69.3,Pure rural,R+16,95.5,2.3,0.7,0.3,0.2,1.0,15.9,16.1,46839,80.1
OH-7,Ohio,Bob Gibbs,42400,23200,38000,51200,69600,80200,"304,700",51.0,304700,OH,7,-12,R,No,"107,536","153,117",0,41.3,58.7,32.8,62.5,Rural-suburban mix,R+12,93.2,3.7,1.3,0.4,0.1,1.2,20.9,21.1,53374,73.5
OH-8,Ohio,Warren Davidson,41300,27100,37700,50200,71800,74400,"302,700",51.0,302700,OH,8,-17,R,No,"87,281","173,852",0,33.4,66.6,30.6,65.1,Rural-suburban mix,R+17,90.3,5.5,1.6,1.1,0.1,1.4,23.8,24.1,58213,68.5
OH-9,Ohio,Marcy Kaptur,37500,26400,44000,49200,68600,73800,"299,500",51.0,299500,OH,9,14,D,No,"157,219","74,670",48,67.8,32.2,58.7,36.5,Dense suburban,D+14,74.3,14.7,8.3,0.9,0.2,1.6,21.6,24.6,41417,56.0
OH-10,Ohio,Mike Turner,38000,26700,42800,46300,67400,72600,"293,600",51.0,293600,OH,10,-4,R,No,"118,785","157,554","5,387",42.2,55.9,44.0,51.3,Sparse suburban,R+4,78.8,16.4,1.7,1.4,0.1,1.5,27.9,29.3,49988,55.6
OH-11,Ohio,Marcia Fudge,37700,26600,43200,46900,61900,73500,"289,700",51.0,289700,OH,11,32,D,No,"206,138","44,486",36,82.2,17.7,80.5,17.0,Urban-suburban mix,D+32,41.6,52.0,3.2,1.5,0.2,1.5,26.8,41.1,35735,24.4
OH-12,Ohio,Troy Balderson,43200,25300,45700,62700,77500,73900,"328,300",51.0,328300,OH,12,-7,R,No,"161,251","175,677","4,719",47.2,51.4,41.9,53.2,Sparse suburban,R+7,90.1,4.4,1.7,2.0,0.1,1.7,41.0,39.9,67415,54.1
OH-13,Ohio,Tim Ryan,34200,26700,43200,45400,63300,74700,"287,500",51.0,287500,OH,13,7,D,No,"153,323","98,047",0,61.0,39.0,51.1,44.6,Sparse suburban,D+7,85.0,10.7,2.2,0.6,0.2,1.3,23.7,24.8,42430,63.9
OH-14,Ohio,David Joyce,37300,20500,33800,44400,81400,86300,"303,700",53.0,303700,OH,14,-5,R,No,"137,549","169,809",0,44.8,55.2,42.1,53.6,Sparse suburban,R+5,92.0,4.2,1.6,1.3,0.1,0.9,34.1,33.9,63362,60.8
OH-15,Ohio,Steve Stivers,39800,25200,47900,54300,75600,74800,"317,500",51.0,317500,OH,15,-7,R,No,"116,112","170,593","5,738",39.7,58.3,39.9,55.3,Rural-suburban mix,R+7,92.0,3.8,1.3,1.4,0.1,1.4,31.4,30.8,61514,63.6
OH-16,Ohio,Anthony Gonzalez,36000,20500,35000,47300,74500,78300,"291,600",53.0,291600,OH,16,-8,R,No,"129,681","170,029",0,43.3,56.7,39.5,56.2,Sparse suburban,R+8,94.0,2.0,1.6,1.4,0.1,0.8,33.3,33.0,64197,62.9
OK-1,Oklahoma,Kevin Hern,46200,26100,50600,57900,71900,75900,"328,600",50.0,328600,OK,1,-17,R,No,"103,042","150,129",0,40.7,59.3,32.7,61.4,Sparse suburban,R+17,74.0,8.4,4.5,1.6,5.2,6.2,30.2,34.0,52319,48.8
OK-2,Oklahoma,Markwayne Mullin,42700,25100,39600,49500,65600,68700,"291,200",50.0,291200,OK,2,-24,R,No,"65,021","140,451","10,530",30.1,65.0,22.8,72.9,Pure rural,R+24,70.2,3.5,2.6,0.5,14.9,8.2,17.0,17.8,40770,57.7
OK-3,Oklahoma,Frank Lucas,45400,31300,46100,52200,66900,72700,"314,600",49.0,314600,OK,3,-27,R,No,"61,152","172,913",0,26.1,73.9,20.9,73.6,Pure rural,R+27,80.6,3.8,5.3,1.0,5.3,4.0,22.9,24.5,47724,60.8
OK-4,Oklahoma,Tom Cole,42100,33500,49400,56500,67000,68900,"317,400",50.0,317400,OK,4,-20,R,No,"78,088","149,227","9,323",33.0,63.1,28.3,65.7,Rural-suburban mix,R+20,76.5,6.5,5.6,1.7,4.5,5.1,25.5,26.7,55183,56.0
OK-5,Oklahoma,Kendra Horn,49400,28000,56900,59000,67600,71500,"332,300",49.0,332300,OK,5,-10,D,Yes (to Democrats),"121,149","117,811",0,50.7,49.3,39.8,53.2,Dense suburban,R+10,68.8,13.9,6.5,2.2,4.3,4.3,30.1,35.0,49616,44.7
OR-1,Oregon,Suzanne Bonamici,45000,24700,56100,67700,80000,79900,"353,300",51.0,353300,OR,1,9,D,No,"231,198","116,446","15,605",63.6,32.1,57.3,34.5,Dense suburban,D+9,82.5,1.6,7.1,5.6,0.5,2.8,41.1,43.3,72097,46.7
OR-2,Oregon,Greg Walden,41900,23800,42500,53100,71800,87800,"321,000",52.0,321000,OR,2,-11,R,No,"145,298","207,597","15,814",39.4,56.3,36.4,56.5,Rural-suburban mix,R+11,87.7,0.6,7.0,0.9,1.6,2.3,23.8,25.8,49837,65.0
OR-3,Oregon,Earl Blumenauer,38800,24900,64300,75000,77800,76700,"357,500",52.0,357500,OR,3,24,D,No,"279,019","76,187","29,120",72.6,19.8,70.7,22.5,Urban-suburban mix,D+24,80.3,4.6,5.7,5.8,0.6,3.1,41.2,45.4,63231,43.7
OR-4,Oregon,Peter DeFazio,35600,32900,42600,50800,64700,85400,"312,000",52.0,312000,OR,4,0,D,No,"208,710","152,414","11,769",56.0,40.9,46.1,46.0,Rural-suburban mix,EVEN,89.5,0.7,4.3,1.6,1.1,2.8,26.7,26.9,46749,65.3
OR-5,Oregon,Kurt Schrader,45300,27300,46000,57700,76200,84800,"337,300",51.0,337300,OR,5,0,D,No,"197,187","149,887","11,395",55.0,41.8,48.3,44.1,Dense suburban,EVEN,85.3,0.9,8.0,2.5,0.8,2.5,30.0,32.4,60395,57.6
PA-1,Pennsylvania,Brian Fitzpatrick,40700,25000,61100,56000,62900,60700,"306,300",49.0,306300,PA,1,-1,R,No,"160,745","169,053",0,48.7,51.3,49.1,47.1,Sparse suburban,R+1,47.3,33.2,13.0,5.1,0.2,1.2,27.4,39.1,45025,28.7
PA-2,Pennsylvania,Brendan Boyle,33900,35200,59500,44400,58700,64700,"296,400",50.0,296400,PA,2,25,D,No,"159,600","42,382",0,79.0,21.0,72.9,24.9,Pure urban,D+25,32.8,56.9,4.8,3.5,0.2,1.8,36.7,68.8,41320,10.2
PA-3,Pennsylvania,Dwight Evans,35100,23600,35800,45600,70900,76300,"287,400",52.0,287400,PA,3,41,D,No,"287,610","20,387",0,93.4,6.6,90.9,7.0,Pure urban,D+41,93.1,4.0,1.5,0.5,0.1,0.9,26.5,27.0,51289,67.9
PA-4,Pennsylvania,Madeleine Dean,38000,24100,40100,49900,77100,76300,"305,500",52.0,305500,PA,4,7,D,No,"211,524","121,467",0,63.5,36.5,57.8,38.5,Sparse suburban,D+7,86.4,6.6,4.3,1.4,0.1,1.1,26.7,27.3,61333,62.8
PA-5,Pennsylvania,Mary Gay Scanlon,30500,34400,38200,43600,64700,75100,"286,500",52.0,286500,PA,5,13,D,Yes (to Democrats),"198,639","106,075",0,65.2,34.8,62.6,34.4,Urban-suburban mix,D+13,94.1,2.5,1.6,0.8,0.2,0.7,25.1,24.8,48410,70.7
PA-6,Pennsylvania,Chrissy Houlahan,37800,23000,37600,51900,81500,78600,"310,400",52.0,310400,PA,6,2,D,Yes (to Democrats),"177,704","124,124",0,58.9,41.1,52.6,43.3,Sparse suburban,D+2,88.5,3.9,4.0,2.6,0.1,0.9,43.2,43.2,82139,50.2
PA-7,Pennsylvania,Susan Wild,36600,22600,35900,47500,75800,82200,"300,600",53.0,300600,PA,7,1,D,No,"140,813","114,437","8,011",53.5,43.5,48.7,47.6,Sparse suburban,D+1,88.3,5.3,2.2,3.4,0.0,0.9,43.4,42.9,85881,50.4
PA-8,Pennsylvania,Matt Cartwright,36200,20900,34400,49100,81500,84400,"306,500",53.0,306500,PA,8,-1,D,No,"135,603","112,563",0,54.6,45.4,43.7,53.3,Rural-suburban mix,R+1,89.2,3.3,3.2,3.3,0.1,0.8,39.7,39.9,80199,53.6
PA-9,Pennsylvania,Dan Meuser,33600,24000,35300,45100,67300,75400,"280,700",52.0,280700,PA,9,-14,R,No,"100,204","148,723",0,40.3,59.7,31.0,65.0,Pure rural,R+14,94.7,2.7,1.2,0.5,0.1,0.8,18.6,18.5,47697,77.1
PA-10,Pennsylvania,Scott Perry,34400,23700,36200,44100,73700,79900,"292,000",53.0,292000,PA,10,-6,R,No,"141,668","149,365",0,48.7,51.3,43.4,52.3,Sparse suburban,R+6,92.3,3.1,3.1,0.6,0.2,0.8,22.5,22.4,52199,71.6
PA-11,Pennsylvania,Lloyd Smucker,33900,24400,37500,49200,70500,76600,"292,100",52.0,292100,PA,11,-14,R,No,"113,876","163,708",0,41.0,59.0,34.7,60.5,Sparse suburban,R+14,90.1,4.6,3.4,1.0,0.1,0.8,25.1,25.4,53833,67.2
PA-12,Pennsylvania,Tom Marino,33600,18100,36300,45700,72900,86100,"292,700",54.0,292700,PA,12,-17,R,No,"82,825","161,047",0,34.0,66.0,29.7,66.1,Pure rural,R+17,94.3,2.9,1.0,0.9,0.1,0.7,33.7,33.2,60387,63.0
PA-13,Pennsylvania,John Joyce,40900,22800,49400,52600,66400,71700,"303,800",50.0,303800,PA,13,-22,R,No,"74,733","178,533",0,29.5,70.5,25.5,71.2,Pure rural,R+22,66.6,17.3,8.2,6.5,0.1,1.4,35.4,40.3,60105,39.7
PA-14,Pennsylvania,Guy Reschenthaler,28300,29600,54800,42400,56800,75400,"287,400",52.0,287400,PA,14,-14,R,Yes (to Republicans),"110,051","151,386",0,42.1,57.9,33.9,62.9,Rural-suburban mix,R+14,75.8,19.2,1.7,1.5,0.1,1.8,35.4,37.9,44939,47.0
PA-15,Pennsylvania,Glenn Thompson,38800,26000,40200,49600,73400,75100,"303,300",51.0,303300,PA,15,-20,R,No,"78,327","165,245",0,32.2,67.8,26.5,69.8,Pure rural,R+20,82.0,3.7,11.5,1.8,0.1,0.9,29.2,31.2,62755,56.3
PA-16,Pennsylvania,Mike Kelly,43500,26500,42800,49900,68500,67300,"298,500",50.0,298500,PA,16,-8,R,No,"124,109","135,348","2,939",47.3,51.6,37.9,57.9,Rural-suburban mix,R+8,80.2,5.6,11.9,1.3,0.1,1.0,25.1,28.4,57144,57.4
PA-17,Pennsylvania,Conor Lamb,32700,23000,36800,46400,70100,71700,"280,700",52.0,280700,PA,17,-3,D,Yes (to Democrats),"183,162","142,417",0,56.3,43.7,46.8,49.4,Sparse suburban,R+3,87.2,4.9,5.6,1.2,0.1,0.9,22.7,23.3,51635,66.8
PA-18,Pennsylvania,Mike Doyle,34300,19300,36800,50200,75700,82200,"298,600",53.0,298600,PA,18,13,D,No,"231,472",0,0,100.0,0.0,62.1,34.6,Urban-suburban mix,D+13,95.1,2.2,0.9,1.0,0.1,0.8,36.5,36.1,63825,60.7
RI-1,Rhode Island,David Cicilline,25700,21600,34600,36100,51700,51800,"221,300",51.0,221300,RI,1,14,D,No,"116,099","57,567",417,66.7,33.1,60.5,34.9,Urban-suburban mix,D+14,79.0,6.3,10.5,2.2,0.4,1.6,34.2,38.7,56547,48.0
RI-2,Rhode Island,Jim Langevin,25100,20000,30000,35100,54100,58300,"222,600",52.0,222600,RI,2,6,D,No,"126,476","72,271",450,63.5,36.3,51.1,44.0,Sparse suburban,D+6,85.7,3.3,7.2,2.2,0.4,1.2,34.0,36.5,63976,54.3
SC-1,South Carolina,Joe Cunningham,39700,23500,50600,53300,67400,72500,"307,000",51.0,307000,SC,1,-10,D,Yes (to Democrats),"145,455","141,473",505,50.6,49.2,40.4,53.5,Sparse suburban,R+10,75.5,18.3,3.2,1.5,0.3,1.3,39.9,45.4,64973,41.2
SC-2,South Carolina,Joe Wilson,38500,26900,40500,52200,67700,68500,"294,300",51.0,294300,SC,2,-12,R,No,"109,199","144,642","3,298",42.5,56.3,38.6,56.3,Rural-suburban mix,R+12,71.5,22.9,2.6,1.4,0.2,1.4,33.5,36.0,57253,45.7
SC-3,South Carolina,Jeff Duncan,35100,26400,34200,46100,65800,64600,"272,200",51.0,272200,SC,3,-19,R,No,"70,046","153,338","2,820",31.0,67.8,29.0,67.0,Pure rural,R+19,78.2,18.5,1.8,0.6,0.2,0.8,22.0,25.2,45042,58.4
SC-4,South Carolina,William Timmons,39900,25000,42400,51300,69600,63400,"291,700",50.0,291700,SC,4,-15,R,No,"89,182","145,321","9,447",36.6,59.6,34.5,60.2,Sparse suburban,R+15,74.6,19.2,3.4,1.6,0.2,1.0,30.7,35.1,51718,48.4
SC-5,South Carolina,Ralph Norman,37800,23600,37200,49600,69200,66000,"283,500",51.0,283500,SC,5,-9,R,No,"103,129","141,757","3,693",41.5,57.0,38.8,57.3,Pure rural,R+9,68.8,26.7,2.3,0.8,0.4,1.1,23.0,27.3,48743,50.0
SC-6,South Carolina,Jim Clyburn,34000,32000,43600,41700,58000,61500,"270,900",50.0,270900,SC,6,19,D,No,"144,765","58,282","3,386",70.1,28.2,66.8,30.3,Pure rural,D+19,39.6,56.3,2.0,0.7,0.3,1.2,19.6,27.7,35296,28.6
SC-7,South Carolina,Tom Rice,34700,21200,37900,48400,63900,71800,"278,000",52.0,278000,SC,7,-9,R,No,"96,564","142,681",309,40.3,59.6,39.1,58.0,Rural-suburban mix,R+9,68.4,27.9,1.7,0.7,0.6,0.8,20.1,23.2,43146,52.5
SD-AL,South Dakota,Dusty Johnson,50000,31100,51000,57100,75900,87400,"352,500",50.0,352500,SD,AL,-14,R,No,"121,033","202,695","12,237",36.0,60.3,31.7,61.5,Pure rural,R+14,87.8,1.0,2.0,0.6,7.0,1.5,28.9,30.9,54467,60.6
TN-1,Tennessee,Phil Roe,34000,23100,35400,50500,69000,70000,"281,900",52.0,281900,TN,1,-28,R,No,"47,138","172,835","4,309",21.0,77.1,19.7,76.7,Rural-suburban mix,R+28,94.8,2.1,1.3,0.5,0.3,1.1,19.4,19.8,41006,76.0
TN-2,Tennessee,Tim Burchett,36600,28700,40800,51000,70300,71900,"299,300",51.0,299300,TN,2,-20,R,No,"86,668","172,856","2,609",33.1,65.9,29.7,65.1,Rural-suburban mix,R+20,90.3,5.8,1.6,1.0,0.2,1.1,31.0,30.9,50701,62.3
TN-3,Tennessee,Chuck Fleischmann,35500,23000,40300,50000,69000,71400,"289,300",52.0,289300,TN,3,-18,R,No,"84,731","156,512","4,522",34.5,63.7,30.2,65.4,Rural-suburban mix,R+18,85.7,10.4,1.6,0.9,0.3,1.1,22.7,23.5,43938,65.5
TN-4,Tennessee,Scott DesJarlais,42200,29300,42400,57600,72900,70300,"314,800",50.0,314800,TN,4,-20,R,No,"78,065","147,323","7,063",33.6,63.4,27.4,68.6,Rural-suburban mix,R+20,86.0,8.3,2.3,1.0,0.2,2.0,22.6,23.0,50598,66.1
TN-5,Tennessee,Jim Cooper,39000,28500,63800,61100,69200,68000,"329,500",50.0,329500,TN,5,7,D,No,"177,923","84,317",8,67.8,32.2,56.5,38.2,Sparse suburban,D+7,68.5,25.1,3.0,1.7,0.3,1.3,37.5,43.6,54470,38.6
TN-6,Tennessee,John Rose,40500,23700,38900,52300,74400,74200,"304,000",51.0,304000,TN,6,-24,R,No,"70,370","172,810","5,560",28.3,69.5,23.7,72.6,Pure rural,R+24,92.5,4.0,1.6,0.6,0.3,1.0,21.9,21.9,50731,72.2
TN-7,Tennessee,Mark Green,44800,24600,44000,57900,72800,68800,"312,900",50.0,312900,TN,7,-20,R,No,"81,661","170,071","2,652",32.1,66.9,28.2,67.5,Pure rural,R+20,84.2,9.9,3.2,1.2,0.3,1.2,28.1,28.8,53276,59.9
TN-8,Tennessee,David Kustoff,39800,23600,36100,49800,70100,70700,"290,000",51.0,290000,TN,8,-19,R,No,"74,755","168,030","5,560",30.1,67.7,30.7,66.3,Rural-suburban mix,R+19,76.8,19.3,1.7,1.2,0.2,0.8,27.6,28.9,54145,54.5
TN-9,Tennessee,Steve Cohen,42800,27100,49800,51800,61000,64700,"297,100",49.0,297100,TN,9,28,D,No,"145,139","34,901","1,436",80.0,19.2,77.5,19.8,Dense suburban,D+28,29.2,66.4,2.1,1.1,0.1,1.0,24.1,38.2,39761,18.0
TX-1,Texas,Louie Gohmert,42300,26800,40600,49100,61900,67100,"287,900",49.0,287900,TX,1,-25,R,No,"61,263","168,165","3,292",26.3,72.3,25.3,72.2,Pure rural,R+25,71.3,18.5,8.2,0.8,0.4,0.9,20.9,24.7,45313,53.7
TX-2,Texas,Dan Crenshaw,42500,26300,55000,64000,70500,78300,"336,600",51.0,336600,TX,2,-11,R,No,"119,992","139,188","4,212",45.6,52.8,43.1,52.4,Dense suburban,R+11,59.9,11.5,20.6,6.4,0.3,1.4,40.8,49.9,72711,29.9
TX-3,Texas,Van Taylor,52300,24800,47600,78500,94400,70900,"368,400",50.0,368400,TX,3,-13,R,No,"138,234","169,520","4,757",44.2,54.2,40.6,54.8,Dense suburban,R+13,69.2,9.1,9.7,10.0,0.3,1.6,53.5,55.0,88619,31.1
TX-4,Texas,John Ratcliffe,42500,23100,38800,52300,66500,68600,"291,800",50.0,291800,TX,4,-28,R,No,"57,400","188,667","3,178",23.0,75.7,21.8,75.4,Pure rural,R+28,79.6,10.7,6.9,0.7,0.6,1.5,22.1,24.3,52481,60.2
TX-5,Texas,Lance Gooden,45400,25700,45200,56800,70800,64300,"308,100",49.0,308100,TX,5,-16,R,No,"78,666","130,617",224,37.5,62.3,34.3,62.7,Rural-suburban mix,R+16,66.8,16.2,13.9,1.6,0.5,1.1,21.1,26.0,50536,49.4
TX-6,Texas,Ron Wright,46200,27100,48000,59300,76500,63500,"320,600",49.0,320600,TX,6,-9,R,No,"116,350","135,961","3,731",45.4,53.1,41.9,54.2,Dense suburban,R+9,60.1,19.4,14.5,4.2,0.4,1.4,28.7,32.2,65758,40.7
TX-7,Texas,Lizzie Fletcher,49100,21200,59500,69700,73800,66400,"339,600",49.0,339600,TX,7,-7,D,Yes (to Democrats),"127,959","115,642",0,52.5,47.5,48.5,47.1,Urban-suburban mix,R+7,56.8,14.1,19.0,8.7,0.2,1.3,50.7,61.5,71183,21.8
