District,State_x,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,State_Abbreviation,CD#,2018_Cook_PVI_Score,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
CA-49,California,Mike Levin,37700,29200,44900,52400,69700,73100,"307,000",51.0,307000,CA,49,-1,D,Yes (to Democrats),"166,453","128,577",0,56.4,43.6,50.7,43.2,Dense suburban,R+1,70.3,2.8,18.1,6.3,0.3,2.2,44.0,52.0,80877,33.7
CA-50,California,Duncan Hunter,43200,26200,47600,55300,75600,72700,"320,600",50.0,320600,CA,50,-11,R,No,"125,448","134,362",0,48.3,51.7,39.6,54.6,Dense suburban,R+11,67.3,2.9,20.8,5.7,0.8,2.5,28.2,33.5,71692,44.7
CA-51,California,Juan Vargas,44800,31900,49500,50200,66200,56600,"299,400",48.0,299400,CA,51,22,D,No,"109,527","44,301",0,71.2,28.8,71.8,22.8,Urban-suburban mix,D+22,20.7,8.5,59.3,9.4,0.5,1.5,14.1,26.6,46639,15.2
CA-52,California,Scott Peters,35300,29800,61400,60800,73400,69000,"329,600",51.0,329600,CA,52,6,D,No,"188,992","107,015",0,63.8,36.2,58.1,35.6,Urban-suburban mix,D+6,66.0,3.2,11.9,15.9,0.3,2.7,57.4,61.2,90854,25.5
CA-53,California,Susan Davis,38000,30300,65900,64900,71400,66800,"337,300",50.0,337300,CA,53,14,D,No,"185,667","83,127",0,69.1,30.9,64.5,29.6,Urban-suburban mix,D+14,48.9,8.3,26.6,12.9,0.3,3.0,37.8,48.1,69314,25.3
CO-1,Colorado,Diana DeGette,39100,24600,79000,72100,68300,69200,"352,300",51.0,352300,CO,1,21,D,No,"272,886","85,207","11,622",73.8,23.0,69.0,23.2,Urban-suburban mix,D+21,68.9,8.2,18.0,2.5,0.6,1.9,47.6,60.5,62718,27.2
CO-2,Colorado,Joe Neguse,36900,38600,49900,59100,77800,83900,"346,200",52.0,346200,CO,2,9,D,No,"259,608","144,901","26,256",60.3,33.6,56.2,34.9,Sparse suburban,D+9,88.1,0.8,7.2,2.1,0.3,1.5,54.3,56.8,75659,38.0
CO-3,Colorado,Scott Tipton,38800,24400,44100,51100,65800,80800,"305,100",51.0,305100,CO,3,-6,R,No,"146,426","173,205","16,570",43.6,51.5,40.0,52.0,Pure rural,R+6,77.6,0.8,18.3,0.7,1.4,1.2,29.2,34.0,50817,51.2
CO-4,Colorado,Ken Buck,48800,24300,45800,63400,78400,77900,"338,600",50.0,338600,CO,4,-13,R,No,"145,544","224,038",39,39.4,60.6,34.3,57.4,Rural-suburban mix,R+13,80.1,1.3,15.5,1.3,0.6,1.3,34.9,39.4,67878,48.5
CO-5,Colorado,Doug Lamborn,43600,31200,52000,54800,72200,73500,"327,300",50.0,327300,CO,5,-14,R,No,"126,848","184,002","11,866",39.3,57.0,33.2,57.2,Dense suburban,R+14,77.6,5.4,11.6,2.2,0.4,2.8,37.0,40.9,62372,45.8
